treespec,prod_wd,unit,bark,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 
CONIF,RW_IN_LG,THS_M3,OVBK,LV	6023.22 	5765.87 	5738.65 	5736.54 	6544.52 	5732.97 	5523.1 	5607.08 	4308.68 	7180.36 	5556.22 	5454.1 	4305.29 	5521.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,OVBK,MT	: 	0 	0 	0 	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,OVBK,NL	191.42 	214.93 	224.91 	276.58 	369.4 	362.1 	4.66 	7.29 	307.5 	305 	372.51 	342.14 	388.95 	376.82 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,OVBK,NO	6001.12 	6612.17 	6651.16 	6366.16 	6000.5 	5994.95 	5832.07 	5197.02 	4903.68 	4764.55 	4806.38 	3359.32 	4361.33 	5001.91 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,OVBK,PL	15739.06 	15852.87 	16624.66 	16671.35 	15302.21 	14810.49 	14704.16 	13570.49 	13051.69 e	13195.63 e	12989.09 e	12284.85 e	12795.6 	14371.48 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,OVBK,PT	2290.2 	2313.2 	2735.37 	2641.99 	2795.62 	2755.19 	2029.15 	1943.25 	0 	2576.52 	3309.04 e	3278.21 	3020.66 	3424.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,OVBK,RO	6038.95 	3991.07 	4465.24 	3941.17 	4433.45 	4660.34 	5277 	4542.45 	5246.26 	4980.73 	4956.97 	4201.5 	4668.1 	5942 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,OVBK,SE	42200 p	42400 	41496 	41724 	42840 	42840 	44280 	38040 	39000 	40320 	41880 	32890 	34980 	45144 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,OVBK,SI	1803.97 	2359.16 	2837.07 	2444.44 	2955.56 	2455.56 	2016.29 	1587.69 	1544.01 	1441.24 	1310.98 	1347.86 	1539.89 	1616.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,OVBK,SK	2987.33 	4065.36 	4434.03 	3927.66 	3837.34 	3523.3 	4022.46 	3063.18 	3334.74 	4337.76 	4833.5 e	4231.52 e	4675.02 	3881.78 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,OVBK,UK	: 	6640.38 	7169.94 	7455.56 	7362.28 	7002.82 	7626.72 	7332.63 	6822.32 	6631.75 	6358.37 	5759.51 	5642.26 	6336.96 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,AT	8229.2 	9568.49 	10069.86 	9236.92 	8685.64 	9193.95 	8585.11 	9052.2 	9358.59 	10064.82 	9892.96 	8816.44 	12743.74 	12931.3 	11078 	9488 	9602 	10181 	8764 	7638 	7614 	7571 	7670 	8027 	7664 	7513 	7953 	6363 	6265 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,BE	: 	: 	: 	1903.78 p	: 	: 	: 	: 	: 	: 	1905.62 e	1700 e	1850 	2000 	2100 	2000 	1975 	1950 	1925 	1770 e	1930 e	2250 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,BG	1114.08 	1185.32 	1239.13 	1047.02 	1153.11 	1266.36 	1074.92 	1164.47 	1000.43 	1101 	923 	622 	1103 	1019 	858 	920 	854 	852 e	852 	701 	868 	784 	387.67 p	403 	449 	449 	459 	403 	355 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,CH	2100.98 	1978.12 	2463.86 	2120.52 	1987.55 	2077.23 	2326.67 	2261.51 e	: c	2562.93 	2678.01 	2573.9 	2886.12 	3289.82 	3289.29 	3117.01 	3158 	2950 	2746 	3532 	6225 	2806 	2392 p	2392 	2215 	2820 	2802 	2495 	2520 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,CY	1.95 	1.91 	1.81 	1.62 	2.6 	2.66 	3.48 	3.42 	3.98 	4.59 	5.01 	4.9 	12.2 	11.64 	4.02 	4.99 	6.26 	7.22 	9.18 	10.94 	11.36 	19.03 	17.42 	22 	24.6 	24 	24 	28 	23 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,CZ	: 	18714 	13993 	10986 	: 	8468 	7955 	7925 	7911 	8014 	8982 	8332 	8503 	10004 	9355 	7613 	7819 	8108 	7580 	7250 	7370 	6937 	6680 	6221 	5810 	5465 	5156 	4485 	4110 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,DE	45700.1 e	38141.16 e	38098.96 e	29600.47 e	24712.3 	27024.61 	24917.1 	23783.61 	23456.88 	25496.5 	26951.89 	23071.92 	27397 	42802 	34451 	30863 	28690 	26901 	21089 	18214 	31712 	18901 	20296 	22094 	19362 	20314 	19741 	14753 	13565 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,DK	: 	: 	: 	: 	792.09 	792.09 	716.27 	716.27 	: 	579.09 	627.21 e	673 	673 	673 	578 	916.5 	303 e	390.17 	368.71 	403 	1157 e	483 	443 	435 	461 	461 	461 	444 	466 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,EE	3259.09 	3366.36 	3748.18 	3511.82 	3309 	3245 	2927.27 	2497.5 	2700 	2700 	2664 	1980 e	1800 	1710 	2200 	2225 	2700 	3650 	3400 	2780 	2430 	1900 	1788 	1425 	1013 	961 	912 	510 	480 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,EL	: 	: 	: 	170.14 p	: 	: 	: 	189.27 	: 	195.99 	186.48 	141.25 	293.21 	634.07 e	246.54 	260.98 	248 	268.17 	271 	258.75 	283.98 	374.45 	221 	239 	282 	242 	371 	335 	337 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,ES	3150.43 e	4461.76 	4437.91 	4639.98 	2897.48 e	2849.38 e	2635.53 	2059.5 	2440.04 	1881.68 	2460.21 	2406.25 	3775.76 	3258 	4395 	5507 	5875 	5800 	5774 	5554 	5276 	4010 	4096 	4183 	4183 	4375 	4675 	4533 	4334 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,EU27_2020	: 	: 	: 	171976.01 s	161653.96 	159121.7 	156898.27 s	145921.03 	144227.9 	153189.13 	156420.4 s	138517.31 s	153380.6 s	189269.6 s	162287.19 s	183015.3 s	159194.14 s	158462.23 	148399.34 	141984.86 s	166370.26 s	137616.2 s	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,EU28	: 	: 	: 	178632.76 s	169529.7 e	165374.21 e	163618.09 e	152468.02 e	150319.26 e	159110.31 e	162097.51 	143659.74 	158418.34 	194927.6 	167539.19 	187993.3 	164200.15 	163276.23 	152992.33 	146499.85 	170766.26 	141988.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,FI	21412.67 	22218.29 	25293.34 	23493 	22424.04 	21183.44 	20757.86 	20500.88 	18526.22 	18762.56 	18645.53 	14513.81 	18373.39 	24568.41 	21004.05 	21454.52 	23365.11 	23593 	22736 	22209 	24772.74 	23928 	24238.06 	23772 	20267 	21697 	22012 	17469 	15241 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,FR	11668.57 e	12097.23 e	12398.09 	11997.35 	11805.25 e	11647.55 e	12003.89 	11611.97 e	11243.47 	13155.59 p	13521.19 	14415.4 	12880.5 	14054.6 	13413.81 	12608.19 	13005.01 	12868.1 	14075.58 	16097.23 	19395.48 	12924.32 	12827.76 	12111.55 	11614.13 	12224.35 	11737.3 	10633.49 	11317.56 	11948.17 	13001.89 	12049.92 	11382.71 
CONIF,RW_IN_LG,THS_M3,UNBK,HR	534.35 	623.74 	718.78 	518.55 	494.27 	492.51 	514.25 	657 	860 	480 	405 	504 	544 	544 	561 	493 	482 	452 	421 	395 	406 	360 	361 	324 	269 	227 	259 	268 	238 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,HU	168.6 	156.15 	153.52 	169.93 	153.98 	162.11 	: 	195.36 	148.39 	164.9 	125.21 	115.8 	130.5 	160 	142 	121 	237.3 	177 	139.9 	103 	105.3 	139 	144 	147 	142 	90 	86 	99 	96 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,IE	: 	: 	2095.15 	1732.57 	1732.57 	1556.27 	1531.55 	1469.32 	1417.19 	1389.99 	1424.67 	1493.69 	1358 	1718 	1782 	1759 	1720 	1874.5 	1721.5 	1642 	1582.2 	1436 	1330 	1264 	1360 	1350 	1312 	1194 	1160 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,IS	: 	: 	: 	: 	: 	: 	: 	: 	0.27 	0.42 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 p	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,IT	2791.54 e	5018.02 e	1169.42 ep	1172 ep	: 	716.74 	679.81 	: 	: 	516.32 	871.15 	535.17 	571.27 	520.2 	484.61 	498.33 	607.96 	653 	647 	678 	701 	682 	735 	721 	741 	942 	798 	837 	607 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,LI	3.85 	4.34 	7.94 	4.67 	2.93 	4.23 	6.62 	6.18 	6.36 	7 	8 	9 	8.25 	7.5 	7.5 	: 	: 	: 	: 	: 	: 	: 	8 p	8 	8 	12 	19 	10 	11 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,LT	2167 	2392 	2491 	2435 	2365 	2061 	2415 	2201 	2126 	2347 	2315.12 	1680.03 	1665.06 	2055 	1810 	2150 	2035 	2015 	1870 	1480 	1900 	1375 	1359 	1560 	2570 	1980 	1113 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,LU	63.26 	77.56 	100.84 	81.07 e	68.46 	72.64 	: 	: 	: 	80.97 	85.7 e	85.41 	91.05 e	91.05 e	110.57 e	100.56 e	75.5 	90.77 	90.47 	87.64 	62.4 e	62.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,LV	5475.66 	5241.7 	5216.96 	5215.04 	5949.56 	5211.79 	5021 	5097.34 	3916.98 	6527.6 e	5051.11 	4958.27 	3844.01 	4930 	5886 	5702.6 	4125 	4353.3 	5612 	5622 	6680 	5296 	2796 	2450 	1800 	1000 	1400 	1967 	459 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,MT	: 	0 	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 e	0 e	0 e	0 p	0 p	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,NL	154.4 e	174 	181.52 	223.35 	299.53 	292.8 	315.5 	313 	249.3 	247.1 	302.37 	277.72 	314.64 	304.99 	349.69 	364 	302 	335 	321 	394 	441 	440 	421 	414 	321 	329 	253 	267 	240 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,NO	5455.56 	6011.06 	6101.67 	5840.21 	5455 	5449.95 	5301.88 	4724.56 	4457.89 	4331.41 	4369.44 	3053.93 	3964.85 	4349.49 	3714.6 	4845.25 	4051 	3929.88 	4135.07 	4407.15 	4079.11 	4182.5 	4108.2 	4537 	4031 	4590 	4282 	4764 	4412 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,PL	14166.57 	14269.01 	14963.69 	15005.71 	13773.37 	13330.77 	13235.06 	12214.66 	11835.18 	11877.26 	11691.35 	11057.47 	11517.19 	12934.33 	10444.7 	9953.2 	10237 	9168 	8480 	8165 	9399 	8732 	8161 	8025 	7541 	7659 	7726 	7424 	7519 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,PT	874.46 	883.24 	1912.84 	1847.54 	1954.98 	1926.71 	1844.68 	1554.6 	2004.05 	2342.29 	2481.78 e	2458.66 	2265.5 	2568.19 	2396.1 	2369.1 	2194 	2363 	2215 	2540 	3546 	2961 	3072 	3500 	3500 	3810 	3796 	3521 	3591 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,RO	5100.22 	3757.63 	4197.05 	3824.46 	4030.41 	4438.42 	5025.71 	4326.15 	4842.3 	4527.94 	4506.34 	3748 	4276 	5267 	2783 	4213 	4512 	4687 	4087 	3023 	3422.8 	3274 	2850 	2720 	2479 	1974 	1800 	1592 	1800 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,SE	37000 p	37200 	36400 	36600 	38945.46 	35700 	36900 	31700 	32500 	33600 	34900 	29900 	31800 	39600 	31500 	56400 	34900 	35000 	33500 	32700 	32730 	30300 	31500 	33700 	30200 	34300 	28500 	25400 	24300 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,SI	1623.58 	2123.24 	2553.36 	2200 	2660 	2210 	1814.66 	1428.92 	1389.61 	1297.11 	1179.88 	1213.08 	1385.9 	1412.93 	1422.09 	1210.33 	1107 	939 	844 	819 	786 	727 	736 	718 	790 	677 	720 	487 	499 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,SK	2597.67 	3535.1 	3855.68 	3570.6 	3488.49 	3202.98 	3656.78 	2784.71 	3031.58 	3873 	4315.62 	3813.04 	4212.68 	3497.89 	2932.01 	3820 	2217 	1786 	1606 	1450.3 	1788 	1750 	1788 	1888 	1657 	1425 	1353 	944 	1267 	: 	: 	: 	: 
CONIF,RW_IN_LG,THS_M3,UNBK,UK	: 	5928.91 	6401.74 	6656.75 	6573.46 	6252.52 	6809.57 	6546.99 	6091.36 	5921.21 	5677.11 	5142.42 	5037.73 	5658 	5252 	4978 	5006 	4814 	4593 	4515 	4396 	4372 	4072 	4001 	3932 	4015 	4054 	3380 	3255 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,AT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	126.94 	123.3 e	110 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,BG	34.99 	43.03 	51.91 	46.03 	52.64 	51.8 	54.25 	63.1 	64 	77 	63.8 	33 	80 	60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,CH	1.76 	2.54 	5.89 	8.13 	11.24 	11.03 	23.03 	: c	: c	12.75 	14.02 	12.41 	14.82 	16.77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,CY	: 	: 	: 	: 	: 	: 	0 	0 	0.09 	0.05 	0.02 	0.04 	0.24 	0.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,CZ	: 	: 	: 	: 	: 	: 	: 	: 	88.72 	80.3 	86.9 e	79.2 e	88 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,DE	: 	: 	: 	: 	: 	: 	: 	: 	1736.59 	1825.06 	1943.45 	1622.82 e	1800.7 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,DK	: 	: 	: 	: 	52.7 	52.7 	: 	: 	: 	76.67 	83.04 e	89.1 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,EE	30 	30 	30 	30 	30 	30 	30 	30 	30 	30 	40 	35 e	25 	70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,EL	: 	: 	: 	: 	: 	: 	: 	: 	46.74 	49.88 	65.67 	74.63 e	74.63 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,ES	226.26 e	106.01 	202.39 	129.59 	135.37 	123.48 	98.83 	91.39 	120.01 	144.93 	190.62 	205.35 	229.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,FI	0 p	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,FR	248 e	306.39 e	274.8 	362.37 	319.13 	348.5 	367.93 	387.38 e	327.75 	243 	123.4 	92.08 	135.66 	109.33 	195.6 	185.95 	196.01 	233.39 	193.7 	159.64 	186.69 	173.31 	177.87 	196.87 	216.19 	229.45 	276.57 	338.48 	266 	303 	299 	280 	215 
CONIF,RW_IN_O,THS_M3,OVBK,HR	: 	: 	: 	: 	: 	: 	: 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,HU	117.41 	175.69 	195.15 	222.99 	286.76 	279.32 	238.87 	216.91 	165.33 	187.45 	150.96 	100.3 	59.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,IE	: 	: 	181.04 	172.4 	182.85 	180.13 	149.71 	118.97 	138.83 	124.38 	130.53 	95.82 	96 	138 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,IS	: 	0 	: 	: 	: 	: 	: 	: 	2.69 	2.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,IT	528.53 e	956.64 e	0 	0 	: 	297.42 	282.1 	: 	408.86 e	408.86 	432.72 	549.02 	520.36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,LI	0 	0 	0 	0 	0 	0 	0 	: 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,LT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 e	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,LU	124.67 	117.76 	117.43 	82.81 	0 	0 	: 	: 	21.73 	20.94 	22.16 e	22.08 e	2.42 e	2.42 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,LV	759 	625.9 	611.49 	555.5 	584.46 	804.46 	804.46 	802.63 	886.44 	742.23 	842.2 	818.69 	803.4 	817.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,MT	: 	0 	0 	0 	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,NL	43.04 	47.92 	19.7 	17.36 	9.7 	10 	0 	0 	12.8 	65.2 	50.04 	45.96 	21.35 	10.09 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,NO	88.78 	96.59 	70.86 	65.72 	550 	0 	0 	0 	24.92 	23.9 	29.56 	23.94 	37.74 	33.09 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,PL	635.6 e	808.44 e	972.59 e	1043.53 e	982.48 e	1135.07 e	1257.15 e	1287.26 	1318.81 e	1240.51 e	1243.61 e	1269.46 e	1503.73 	1661.32 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,PT	198.84 	193.86 	227.84 	158.19 	110.17 	97.36 	78.79 	93.64 	0 	157.19 	201.88 e	200 	200 	200 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,RO	371.99 	181.16 	203.35 	214.31 	209.64 	205.62 	293.8 	352.42 	265.63 	225.52 	130.04 	307.3 	189.6 	236 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,SE	170 p	170 	171 	285 	300 	300 	300 	300 	300 	300 	300 	275 	275 	285 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,SI	16.67 	22.22 	37.04 	22.22 	83.33 	111.11 	126.25 	46.63 	45.88 	70.07 	58.32 	49.09 	29.11 	30.64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,SK	24.48 	35.71 	27.88 	39.68 	28.21 	20.9 	28.63 	15.53 	20.9 	41.23 	33.71 e	32.37 e	61.34 	40.61 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,OVBK,UK	: 	490.1 	472.02 	510.63 	501.5 	497.59 	554.68 	575.43 	541.5 	558.73 	532.6 	580.39 	513.13 	450.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,UNBK,AT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	410 p	410 p	410 p	410 	410 	410 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,UNBK,BE	: 	: 	: 	111.96 p	: 	: 	: 	: 	: 	: 	112.1 e	100 e	110 	125 	125 	130 	135 	150 	150 	150 e	50 e	50 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,UNBK,BG	31.81 	39.12 	47.19 	41.85 	47.86 	47.09 	49.32 	57.37 	63.61 	70 	58 	30 	73 	60 	70 	65.5 e	65.5 e	65.5 e	65.5 e	65.5 e	65.5 e	65.5 p	76 p	85 	100 	106 	80 	165 	110 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,UNBK,CH	1.58 	2.29 	5.3 	7.31 	10.12 	9.93 	8.08 	6.51 e	: c	11.49 	12.63 	11.19 	13.47 	15.09 	15.49 	22.31 	0 	0 	0 	0 	0 	0 	0 p	60 	60 	60 	60 	60 	60 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,UNBK,CY	0.25 	0.01 	0.05 	0.16 	0.04 	0.05 	0.04 	0.01 	0.07 	0.04 	0.02 	0.03 	0.19 	0.03 	0.03 	0 	0.01 	0.02 	0.04 	0.02 	0.04 	0.02 	0.03 	0.1 	0.1 	0.1 	0.1 	0.1 	0 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,UNBK,CZ	: 	110 	83 	71 	: 	69 	69 	69 	68 	73 	79 	72 	80 	80 	75 	370 	370 	370 	360 	370 	385 	385 	400 	286 	448 	650 	650 	733 	650 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,UNBK,DE	71.69 e	71.34 e	73.6 e	72.34 e	1417 	1540 	1542.56 	1559.51 	1578.72 	1659.14 	1766.77 	1475.29 	1637 	2809 	1557 	1924 	2213 	2110 	1604 	1914 	3024 	708 	733 	777 	625 	500 	600 	600 	600 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,UNBK,DK	: 	: 	: 	: 	47.91 	47.91 	38.73 	38.73 	: 	69.7 	75.49 e	81 	81 	81 	17 	19.5 	10 	128.76 e	116.43 e	168 e	448 e	187 	311 	318 	325 	325 	325 	325 	325 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,UNBK,EE	27.27 	27.27 	27.27 	27.27 	27.27 	27.27 	27.27 	27 	27 	27 	36 	31.5 e	22.5 	63 	50 	165 	300 	550 	380 	370 	350 	250 	200 	200 	171 	171 	171 	171 	200 	: 	: 	: 	: 
CONIF,RW_IN_O,THS_M3,UNBK,EL	: 	54.44 	: 	41.22 p	: 	: 	: 	43.79 	: 	45.35 	0 	0 	67.85 	167.35 e	56.14 	68.42 	48.4 	43.01 	61 	64.96 	54.57 	0 	0 p	20 p	20 p	19 p	30 	21 	19 	: 	: 	: 	: 
