treespec,prod_wd,unit,bark,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 
CONIF,RW,THS_M3,OVBK,LU	288.93 	298.05 	334.15 	251.91 	189.77 	216.56 	: 	: 	126.94 	122.28 	128.98 	128.49 	109.55 	109.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,OVBK,LV	9560.82 	9184.67 	9030.47 	8848.7 	9706.38 	9070.31 	9194.1 	6884.65 	7160.27 	9903.97 	8783.8 	8180.69 	6818.38 	8662.98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,OVBK,MT	: 	: 	: 	0 	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,OVBK,NL	1021.54 	1073.72 	1063.97 	1120.54 	834.6 	820 	: 	: 	607.1 	660 	713.86 	660.63 	756.69 	695.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,OVBK,NO	11525.68 	12408.89 	13351.16 e	11949 e	11798.6 	11671.31 	11254.96 e	10726.54 	10290.7 	10022.59 	9923.06 	8019.35 	9618.98 	10235.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,OVBK,PL	34354.7 e	36750.28 e	39881.33 e	38793.03 e	35122.56 	34031.64 	33503.37 	31574.3 	30465.78 	30473.7 	29473.73 	28322.79 	28305.37 	30299.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,OVBK,PT	5934.47 	6117.04 	6137.43 	5692.63 	4063.06 	4106.94 	3111.14 	3177.87 	0 	3803.37 	4868.8 	4825.93 	4420.89 	5382.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,OVBK,RO	7914.75 	5661.1 	6318.89 	5439.81 	5962.47 	6335.81 	6876.27 	6196.64 	6640.83 	6443.38 	5850.67 	5517.7 	6035.6 	7490 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,OVBK,SE	74400 p	74300 	72846 	79008 	81300 	80720 	79980 	75310 	75307 	77910 	78410 	65010 	70950 	81214 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,OVBK,SI	2339.52 	3091.16 	3826.39 	3227.8 	3881.13 	3402.8 	3071.32 	2106.63 e	2039.55 	1954.34 	1728.59 	1757.97 	1940.87 	2042.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,OVBK,SK	4640.16 	6159.81 	6657.8 	6070.13 	5713 	5128.52 	5664.11 	4458.34 	4869.21 	6102.71 	7148.6 	6964.42 	6907.69 	5576.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,OVBK,UK	: 	: 	: 	11523.66 	11459.13 	11288.1 	12004.75 	11600.56 	10812.22 	10693.08 	10359.84 	9133.3 	9004.17 	9671.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,AT	13946.29 	15976.72 	16038.6 	14595 	13854.2 	14570.82 	13921.83 	14419.17 	14932.53 	15727.26 	15296.64 	14078.94 	18884.48 	18626.4 	16336 	14008 	14070 	14734 	12670 	11336 	11229 	11967 	11951 	13048 	13426 	12196 	12628 	10565 	10466 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,BE	3220.91 e	3220.91 e	3220.91 e	3220.91 	: 	: 	: 	: 	: 	3292.82 	3187.88 	2850 	3110 	3325 	3425 	3335 	3785 	3225 	3000 	2795 e	2830 e	3150 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,BG	2836.15 	3080.22 	3474.11 	2998 	3229.16 	3031.15 	2465.52 	2621.65 e	: 	2310 	1960 	1300 	2281 	2067 	2125 	2246.5 	2096.5 	1605.5 	1605.5 	1407.5 	1607.5 	1374.5 	891 	913 	1013 	996 	875 	885 	798 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,CH	3241.61 	3014.65 	3493.52 	2924.52 	2729.15 	2804.94 	3092.27 	3011.23 	2995.7 	3317.92 	3428.74 	3282.45 	3647.14 	4117.4 	4245.21 	4025.23 	4046 	3700 	3500 	4475 	7611 	3415 	2844 	2887 	2855 	3516 	3509 	3233 	3363 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,CY	7.41 	7.85 	9.7 	14 	14.2 	8.7 	7.09 	7.32 	: 	7.56 	8.22 	7.83 	18.35 	18.62 	6.04 	7.7 	8.85 	11.02 	13.73 	16.93 	19.42 	35.09 	32.76 	39.1 	42.7 	46.1 	44.1 	51.1 	42.5 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,CZ	: 	31313 	24213 	17735 	: 	14385 	13472 	13229 	13056 	13340 	15066 	14047 	14877 	17278 	16118 	13883 	13920 	13660 	13010 	12680 	12851 	12422 	12250 	11942 	11276 	11308 	11157 	9650 	8670 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,DE	65366.31 e	57337.68 e	55243.09 e	40895 	39051.8 	42049.65 	40127.5 	38891.95 	38464.69 e	41709.76 	42440.4 	37049.85 	42753 	63613 	49486 	45941 	43819 	40327 	33177 	28709 	43284 	27911 	29571 	31062 	28326 	30442 	29258 	23374 	22971 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,DK	: 	: 	: 	: 	2641.09 	2641.09 	2257.09 	2257.09 	: 	1949.75 	2015.86 	2124 	2124 	2124 	1892 	2528.5 	1114 	1216.16 	1064.43 	1158 	2428 	1012 	1006 	1573 	1518 	1518 	1518 	1494 	1468 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,EE	5860.91 	6053.64 	6736.36 	5773 	5717.73 	5581.36 	4800 	4243.5 	4347 	4293 	4284 	3253.5 e	2929.5 	2736 	3250 	3500 	4300 	6900 	6910 	6720 	5870 	4133 	3824 	3425 	1945 	1853 	1788 	1366 	1172 	: 	: 	: 	: 
